video_id,filename,niche,category,subcategory,micro_niche,full_path,confidence,matched_keywords,has_feature_data
DRfziV1gJnw,DRfziV1gJnw_camidevai_score0.8702.mp4,unknown,unknown,,,,0.0,,no
DSD5sDCAFuf,DSD5sDCAFuf_camidevai_score0.8551.mp4,unknown,unknown,,,,0.0,,no
DRKIDhPj-8H,DRKIDhPj-8H_changishere08_score0.8668.mp4,unknown,unknown,,,,0.0,,no
DIA0AGjNEL7,DIA0AGjNEL7_christosfloros_score0.9188.mp4,unknown,unknown,,,,0.0,,yes
DQWEKKCD_BB,DQWEKKCD_BB_clearwaveapp_score0.9385.mp4,unknown,unknown,,,,0.0,,no
C92ZJMWxEm9,C92ZJMWxEm9_clickup_score0.9508.mp4,unknown,unknown,,,,0.0,,no
DOu_sK5Aool,DOu_sK5Aool_cofogram_score0.9470.mp4,unknown,unknown,,,,0.0,,no
DR1RauGDNgr,DR1RauGDNgr_cofogram_score0.8696.mp4,unknown,unknown,,,,0.0,,no
DRyssOVDBIS,DRyssOVDBIS_cofogram_score0.8765.mp4,unknown,unknown,,,,0.0,,no
DLcak57p5pu,DLcak57p5pu_conradbeckham_score0.8523.mp4,unknown,unknown,,,,0.0,,no
CyLwstGRsiB,CyLwstGRsiB_corbett.destination_score0.9046.mp4,unknown,unknown,,,,0.0,,no
DNQKvxtoQBY_mini_mabel,DNQKvxtoQBY_mini_mabel_cornwall_score0.8718.mp4,unknown,unknown,,,,0.0,,no
DHHSxmsSzHK,DHHSxmsSzHK_corporatedudes_score0.9782.mp4,unknown,unknown,,,,0.0,,no
DRNF_aqArGN,DRNF_aqArGN_darrenshawseo_score0.8885.mp4,unknown,unknown,,,,0.0,,no
C4HIqPvNVXg,C4HIqPvNVXg_deadbook.co_score0.8872.mp4,unknown,unknown,,,,0.0,,no
C7EJ29HgUVm,C7EJ29HgUVm_diimejii_score0.8907.mp4,unknown,unknown,,,,0.0,,no
C8q4E2QttUy,C8q4E2QttUy_diimejii_score0.8611.mp4,unknown,unknown,,,,0.0,,no
DSNAmUwCFis,DSNAmUwCFis_distanceeducationschool_score0.9205.mp4,unknown,unknown,,,,0.0,,no
DIFFnbKP0s5,DIFFnbKP0s5_dixxonflannelco_score0.8753.mp4,unknown,unknown,,,,0.0,,no
DFX02vnS5Sf_japan,DFX02vnS5Sf_japan_documented_score0.9004.mp4,unknown,unknown,,,,0.0,,no
DSZ5RoYD7Q-,DSZ5RoYD7Q-_dotme.in_score0.8879.mp4,unknown,unknown,,,,0.0,,no
DM-Al0ohDuK,DM-Al0ohDuK_dr0plyy_score0.8524.mp4,unknown,unknown,,,,0.0,,no
DSKix5vEVgT,DSKix5vEVgT_draqee4_score0.9115.mp4,unknown,unknown,,,,0.0,,no
C-1KLeUMzGc,C-1KLeUMzGc_drippi.io_score0.9068.mp4,unknown,unknown,,,,0.0,,no
DJGGNBTRiD9,DJGGNBTRiD9_duncanyounot_score0.8662.mp4,unknown,unknown,,,,0.0,,yes
DMGk3dzzy4H,DMGk3dzzy4H_ecai.app_score0.9076.mp4,unknown,unknown,,,,0.0,,no
DMd2oDByQ83,DMd2oDByQ83_ecai.app_score0.9135.mp4,unknown,unknown,,,,0.0,,no
DNDqcFBurwy,DNDqcFBurwy_ecai.app_score0.9439.mp4,unknown,unknown,,,,0.0,,no
DNox2uXBx2_,DNox2uXBx2__ecai.app_score0.9028.mp4,unknown,unknown,,,,0.0,,no
DGk-ZLCTwXJ,DGk-ZLCTwXJ_eddy.studydiary_score0.8662.mp4,unknown,unknown,,,,0.0,,no
DSHkRUoCVYq_,DSHkRUoCVYq__edugrad_score0.8870.mp4,unknown,unknown,,,,0.0,,no
DNbCtKszmVG_aswin,DNbCtKszmVG_aswin_effect_score0.8636.mp4,unknown,unknown,,,,0.0,,no
DQHfOCgExOV_aswin,DQHfOCgExOV_aswin_effect_score0.8552.mp4,unknown,unknown,,,,0.0,,no
DQjvhXPk8Wi_aswin,DQjvhXPk8Wi_aswin_effect_score0.8612.mp4,unknown,unknown,,,,0.0,,no
DD4ALIWoLOD,DD4ALIWoLOD_efoodtour_score0.8715.mp4,unknown,unknown,,,,0.0,,yes
DCWdtWdoOnh,DCWdtWdoOnh_fantum.me_score0.8653.mp4,unknown,unknown,,,,0.0,,no
DLp2AtjNq60,DLp2AtjNq60_filatov.design_score0.8590.mp4,unknown,unknown,,,,0.0,,no
DGd5APgN_9j_eulix,DGd5APgN_9j_eulix_films_score0.9438.mp4,unknown,unknown,,,,0.0,,no
DRVA7XiAc0K,DRVA7XiAc0K_fit2serve1_score0.9287.mp4,unknown,unknown,,,,0.0,,no
DLibd9siah0,DLibd9siah0_frontendleadapp_score0.8853.mp4,unknown,unknown,,,,0.0,,no
DSkNRThE6Jc,DSkNRThE6Jc_galleryvisionindia_score0.8723.mp4,unknown,unknown,,,,0.0,,yes
DSfmOM6Cro3,DSfmOM6Cro3_getbrickdapp_score0.9219.mp4,unknown,unknown,,,,0.0,,no
C9SgR3IA7Ck,C9SgR3IA7Ck_getinfluencer.me_score0.9003.mp4,unknown,unknown,,,,0.0,,no
DBrjHNaRW5P,DBrjHNaRW5P_getmina.co_score0.9252.mp4,unknown,unknown,,,,0.0,,no
DBuJpwqsrjR,DBuJpwqsrjR_getmina.co_score0.9413.mp4,unknown,unknown,,,,0.0,,no
DI9ZUbloBlc,DI9ZUbloBlc_getmina.co_score0.9231.mp4,unknown,unknown,,,,0.0,,no
DICLCOqNKLu,DICLCOqNKLu_getmina.co_score0.9250.mp4,unknown,unknown,,,,0.0,,no
DIRn1eFJZZK,DIRn1eFJZZK_getmina.co_score0.9437.mp4,unknown,unknown,,,,0.0,,no
DIhEmkeCG0e,DIhEmkeCG0e_getmina.co_score0.9183.mp4,unknown,unknown,,,,0.0,,no
DJM2IO8S0Vn,DJM2IO8S0Vn_getmina.co_score0.9308.mp4,unknown,unknown,,,,0.0,,no
DKh0dGrh68H,DKh0dGrh68H_getmina.co_score0.9286.mp4,unknown,unknown,,,,0.0,,no
C7z614SyooD,C7z614SyooD_goldenbootacademy_score0.9077.mp4,unknown,unknown,,,,0.0,,no
