Video Name,Thumbnail
DOufAyoDxm9_ultrakey_it_score0.8818.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=13floDbLlpTiFzDhBl7JG-56sol3P3Hnk"")"
DLcak57p5pu_conradbeckham_score0.8523.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1EYKD3OD1Q9tA1a4co80hD9sq-CRGCVBx"")"
Cl5Uf3WP7OI_shayar_baj_wa_score0.8812.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1tjjqTA0gw93BObA9ly2zZY-_FSD3i8-5"")"
DSPhkGRATsr_startub.co_score0.8973.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1XNQpUEMOAANnyehldyLV9oEztFoXRMNE"")"
Co7VYcOIasN_thechickenrush_score0.9218.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=132zojrP0mNCroKLg5kXfutPyyTRkIqAm"")"
DO0mxo2jAmj_thechickenrush_score0.9101.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1ykk1eplT5aOYlXJJKrs1LkDGf0uYr597"")"
C9FnudMOPel_callmemannyirl_score0.9174.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1rcHj2WYl0PQOR-p9Kbpwxlpq2DXI4eZ9"")"
CjKx1IRJrMG_tarulesocial_score0.8967.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1DRyMgRsMwRwYHCGNAxoTgT9y6SHLqKCe"")"
ChBwu59godi_tarulesocial_score0.8822.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=12IbP376BQ5UmWSa8zE1XNBJJ_Od1R86g"")"
DRuIEtrCJV4_strique.io_score0.8824.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=134P94801orP77BfXgd7VjZj5OoW9KlcR"")"
DSS_Is_Acbt_spotify_score0.9530.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1JIAVJ5iRyAhcGdwi5g8wKHoVgsperKVU"")"
DPb93ZZEVWI_nicola.bleu_score0.8600.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1fqtCbAOCDCejt8oFlACVCcIv00lX0qYc"")"
DIytlvFBk5N_smallest.ai_score0.8558.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1dg_1dnCK_qpIV11ivjOCmucgojaeUYU_"")"
DGxAeXHvE3t_sks_buddy_score0.8871.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1V_jZl5CAjitQbzUGsy4oWy-b9cWf30Do"")"
DSPBIJmERjE_shubhoooom_score0.8649.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1E2uDrCKLUJVcSyID4jXUETXK6WiIxhNB"")"
DNkITdzTMZf_shardee_official_score0.9138.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1bt-MBm0QLgng3_kgQA5L9rPUDvHmFFji"")"
DAFXtMThrdF_shuteye_ai_score0.9708.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=19rjufoAKbxBy5jOfyP-nRXVsA6wKRbGG"")"
C_jhd4MvcpO_igreenscreenthings_score0.8687.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1UGY3tzcg1TCq4D1aOOqaKiiX4OM9wj7o"")"
DI-neU5NHD-_selfplanr_score0.8563.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1CPEQYiEEwdjQ5ojMp1f-JFTWyFB0txus"")"
DQw_kSEjBXX_seeker.social_score0.8603.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1GhtFYMSL-fcr5UWjiGSycVa1VwokdWkx"")"
DKuL0n0oLly_anas.kino_score0.8703.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1t5hSd69etlRSvOcvjcIeSDjG55O2oFH6"")"
DRTyZtJE5Nq_scrollx_ui_score0.8561.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1nEIE7h4aXsoPFTP1KsqAFCy09mKU7F-1"")"
DRt87JAE2Zt_seo_kesh_score0.9166.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1IOgv-VccIXLSLi9ivZ-ZIT-ZOZUf2Jxf"")"
DSCwVxRkXev_mjmehandiart_score0.8781.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1GBjwt9aBAF19hmpIykg99JP1J8Rpq4AF"")"
